Regional Member,Year,Value,Country Code,Indicator,Unit
People's Republic of China,1950,4.468622,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,1955,4.0533779,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,1960,3.6501576,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,1965,3.3574721,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,1970,3.6615767,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,1975,3.9874208,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,1980,4.4931338,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,1985,5.0580917,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,1990,5.3419509,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,1995,5.8506842,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2000,6.6507265,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2005,7.4923312,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2010,8.2460204,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2015,9.5512066,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2020,12.090132,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2025,14.178232,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2030,17.178642,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2035,21.251867,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2040,24.587042,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2045,26.030566,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2050,27.550102,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2055,31.017329,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2060,32.901938,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2065,32.860678,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2070,32.610966,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2075,32.708857,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2080,33.307445,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2085,33.785661,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2090,33.777955,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2095,33.678315,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
People's Republic of China,2100,33.7516,CHN,Population Aged 65 and Older as a Share of Total Population,% to total population
