;;Paid paternity leave;;;Paid parental and home care leave reserved for fathersa;;;Total paid leave reserved for fathers;;
;;Length, in weeks;Average payment ratec (%);Full-rate equivalent, in weeks;Length, in weeks;Average payment ratec (%);Full-rate equivalent, in weeks;Length, in weeks;Average payment ratec (%);Full-rate equivalent, in weeks
;;;;;;;;;;
;;;;;;;;;;
;;(1);(2);(3);(4);(5);(6);(7)=(1)+(4);(8);(9)
Australia;;2.0;42.3;0.8;0.0;0.0;0.0;2.0;42.3;0.8
Austria;(c);0.0;0.0;0.0;8.7;80.0;6.9;8.7;80.0;6.9
Belgium;;2.0;73.4;1.5;17.3;20.2;3.5;19.3;25.7;5.0
Canada;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Chile;(c);1.0;100.0;1.0;0.0;0.0;0.0;1.0;100.0;1.0
Czech Republic;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Denmark;;2.0;53.6;1.1;0.0;0.0;0.0;2.0;53.6;1.1
Estonia;;2.0;100.0;2.0;0.0;0.0;0.0;2.0;100.0;2.0
Finland;;3.0;62.9;1.9;6.0;62.9;3.8;9.0;62.9;5.7
France;(c);2.0;92.8;1.9;26.0;14.5;3.8;28.0;20.1;5.6
Germany;(c);0.0;0.0;0.0;8.7;65.0;5.7;8.7;65.0;5.7
Greece;;0.4;100.0;0.4;0.0;0.0;0.0;0.4;100.0;0.4
Hungary;;1.0;100.0;1.0;0.0;0.0;0.0;1.0;100.0;1.0
Iceland;;0.0;0.0;0.0;13.0;59.7;7.8;13.0;59.7;7.8
Ireland;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Israel;(d);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Italy;;0.4;100.0;0.4;0.0;0.0;0.0;0.4;100.0;0.4
Japan;;0.0;0.0;0.0;52.0;58.4;30.4;52.0;58.4;30.4
Korea;;0.6;100.0;0.6;52.0;32.0;16.6;52.6;32.8;17.2
Latvia;;1.4;80.0;1.1;0.0;0.0;0.0;1.4;80.0;1.1
Luxembourg;;0.4;100.0;0.4;26.0;38.4;10.0;26.4;39.3;10.4
Mexico;;1.0;100.0;1.0;0.0;0.0;0.0;1.0;100.0;1.0
Netherlands;;0.4;100.0;0.4;0.0;0.0;0.0;0.4;100.0;0.4
New Zealand;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Norway;;0.0;0.0;0.0;10.0;97.9;9.8;10.0;97.9;9.8
Poland;;2.0;100.0;2.0;0.0;0.0;0.0;2.0;100.0;2.0
Portugal;;5.0;100.0;5.0;17.3;43.6;7.5;22.3;56.3;12.5
Slovak Republic;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Slovenia;;2.9;90.0;2.6;0.0;0.0;0.0;2.9;90.0;2.6
Spain;;2.1;100.0;2.1;0.0;0.0;0.0;2.1;100.0;2.1
Sweden;;1.4;61.2;0.9;12.9;77.6;10.0;14.3;76.0;10.9
Switzerland;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Turkey;;1.0;100.0;1.0;0.0;0.0;0.0;1.0;100.0;1.0
United Kingdom;;2.0;20.2;0.4;0.0;0.0;0.0;2.0;20.2;0.4
United States;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OECD average;;1.0;-;-;7.1;-;-;8.2;-;-
Costa Rica;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Bulgaria;;2.1;78.4;1.7;0.0;0.0;0.0;2.1;78.4;1.7
Croatia;;0.0;0.0;0.0;8.7;33.6;2.9;8.7;33.6;2.9
Cyprus;(e,f,g);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Lithuania;;4.0;100.0;4.0;0.0;0.0;0.0;4.0;100.0;4.0
Malta;;0.2;100.0;0.2;0.0;0.0;0.0;0.2;100.0;0.2
Romania;(c);1.0;100.0;1.0;4.3;85.0;3.7;5.3;-;-
EU average;;1.4;-;-;4.9;-;-;6.2;-;-
Eurozone ave.;;1.4;-;-;5.8;-;-;7.2;-;-
