Country;Sex;Occupation;Currency;Survey;Type of Source;2010;2011;2012;2013;2014;2015;2016;2017
Austria;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;7336;;;;8144;;;
Austria;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;5030;;;;5560;;;
Austria;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;4125;;;;4495;;;
Austria;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3309;;;;3607;;;
Austria;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2448;;;;2651;;;
Austria;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2697;;;;3286;;;
Austria;Male (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2953;;;;3377;;;
Austria;Male (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2258;;;;2647;;;
Austria;Male (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3380;;;;3920;;;
Austria;Female (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;5153;;;;5941;;;
Austria;Female (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3918;;;;4394;;;
Austria;Female (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;3168;;;;3560;;;
Austria;Female (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2743;;;;3144;;;
Austria;Female (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2006;;;;2351;;;
Austria;Female (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1964;;;;2404;;;
Austria;Female (Sex);8. Plant and machine operators, and assemblers (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2239;;;;2599;;;
Austria;Female (Sex);9. Elementary occupations (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;1803;;;;2114;;;
Austria;Female (Sex);TOTAL. Total (ISCO-08);Constant 2011 PPP $ (Currency);Structure of Earnings Survey;Establishment survey;2529;;;;2971;;;
Austria;Male (Sex);1. Managers (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;7693;7418;8885;9668;9739;9571;;
Austria;Male (Sex);2. Professionals (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;5742;5606;5762;5673;5750;5817;;
Austria;Male (Sex);3. Technicians and associate professionals (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;4072;4343;4394;4548;4680;4831;;
Austria;Male (Sex);4. Clerical support workers (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;3979;3386;3554;3331;3663;3692;;
Austria;Male (Sex);5. Service and sales workers (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;2194;2295;2258;2399;2335;2365;;
Austria;Male (Sex);6. Skilled agricultural, forestry and fishery workers (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;1781;1660;1758;1896;1746;1762;;
Austria;Male (Sex);7. Craft and related trades workers (ISCO-08);Constant 2011 PPP $ (Currency);General Income Report;Other administrative records and related sources;2887;3029;3296;3419;3498;3535;;
