;;Paid maternity leave;;;Paid parental and home care leave available to mothersc;;;Total paid leave available to mothers;;
;;Length, in weeks;Average payment rateb (%);Full-rate equivalent, in weeks;Length, in weeks;Average payment rateb (%);Full-rate equivalent, in weeks;Length, in weeks;Average payment rateb (%);Full-rate equivalent, in weeks
;;;;;;;;;;
;;;;;;;;;;
;;(1);(2);(3);(4);(5);(6);(7)=(1)+(4);(8);(9)
Australia;;18.0;42.3;7.6;0.0;0.0;0.0;18.0;42.3;7.6
Austria;(b);16.0;100.0;16.0;44.0;80.0;35.2;60.0;85.3;51.2
Belgium;;15.0;64.1;9.6;17.3;20.2;3.5;32.3;40.6;13.1
Canada;;17.0;48.4;8.2;35.0;54.9;19.2;52.0;52.8;27.4
Chile;(b);18.0;100.0;18.0;12.0;100.0;12.0;30.0;100.0;30.0
Czech Republic;;28.0;62.6;17.5;82.0;43.4;35.6;110.0;48.3;53.1
Denmark;;18.0;53.6;9.6;32.0;53.6;17.1;50.0;53.6;26.8
Estonia;;20.0;100.0;20.0;146.0;44.5;65.0;166.0;51.2;85.0
Finland;;17.5;74.4;13.0;143.5;19.2;27.6;161.0;25.2;40.6
France;(b);16.0;94.2;15.1;26.0;14.5;3.8;42.0;44.9;18.8
Germany;(b);14.0;100.0;14.0;44.0;65.0;28.6;58.0;73.4;42.6
Greece;;43.0;54.2;23.3;0.0;0.0;0.0;43.0;54.2;23.3
Hungary;;24.0;70.0;16.8;136.0;40.4;55.0;160.0;44.9;71.8
Iceland;;13.0;59.7;7.8;13.0;59.7;7.8;26.0;59.7;15.5
Ireland;;26.0;34.3;8.9;0.0;0.0;0.0;26.0;34.3;8.9
Israel;(d);14.0;100.0;14.0;0.0;0.0;0.0;14.0;100.0;14.0
Italy;;21.7;80.0;17.4;26.0;30.0;7.8;47.7;52.7;25.2
Japan;;14.0;67.0;9.4;44.0;59.9;26.4;58.0;61.6;35.8
Korea;;12.9;79.5;10.2;52.0;28.5;14.8;64.9;38.6;25.0
Latvia;;16.0;80.0;12.8;78.0;51.9;40.5;94.0;56.7;53.3
Luxembourg;;16.0;100.0;16.0;26.0;38.4;10.0;42.0;61.9;26.0
Mexico;;12.0;100.0;12.0;0.0;0.0;0.0;12.0;100.0;12.0
Netherlands;;16.0;100.0;16.0;0.0;0.0;0.0;16.0;100.0;16.0
New Zealand;;18.0;42.6;7.7;0.0;0.0;0.0;18.0;42.6;7.7
Norway;;13.0;97.9;12.7;78.0;41.3;32.2;91.0;49.4;45.0
Poland;;20.0;100.0;20.0;32.0;67.5;21.6;52.0;80.0;41.6
Portugal;;6.0;100.0;6.0;24.1;59.6;14.4;30.1;67.7;20.4
Slovak Republic;;34.0;70.0;23.8;130.0;23.0;29.9;164.0;32.7;53.7
Slovenia;;15.0;100.0;15.0;37.1;90.0;33.4;52.1;92.9;48.4
Spain;;16.0;100.0;16.0;0.0;0.0;0.0;16.0;100.0;16.0
Sweden;;12.9;77.6;10.0;42.9;57.7;24.7;55.7;62.3;34.7
Switzerland;;14.0;56.4;7.9;0.0;0.0;0.0;14.0;56.4;7.9
Turkey;;16.0;66.0;10.6;0.0;0.0;0.0;16.0;66.0;10.6
United Kingdom;;39.0;30.9;12.1;0.0;0.0;0.0;39.0;30.9;12.1
United States;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OECD average;;18.0;-;-;37.2;-;-;55.2;-;-
Costa Rica;;17.3;100.0;17.3;0.0;0.0;0.0;17.3;100.0;17.3
Bulgaria;;58.6;78.4;45.9;51.9;37.7;19.6;110.4;59.3;65.5
Croatia;;30.0;100.0;30.0;26.0;33.6;8.7;56.0;69.2;38.7
Cyprus;(e,f,g);18.0;75.2;13.5;0.0;0.0;0.0;18.0;75.2;13.5
Lithuania;;18.0;100.0;18.0;44.0;100.0;44.0;62.0;100.0;62.0
Malta;;18.0;87.0;15.7;0.0;0.0;0.0;18.0;87.0;15.7
Romania;(b);18.0;85.0;15.3;38.7;85.0;32.9;56.7;-;-
EU average;;21.8;-;-;43.8;-;-;65.6;-;-
Eurozone ave.;;19.1;-;-;41.4;-;-;60.4;-;-
