Country,Occupation,Female (Sex),Male (Sex),ratio
Austria,1. Managers (ISCO-08),5556.0,9571.0,0.5805036046390137
Austria,2. Professionals (ISCO-08),3925.0,5817.0,0.6747464328691766
Austria,3. Technicians and associate professionals (ISCO-08),3028.0,4831.0,0.6267853446491409
Austria,4. Clerical support workers (ISCO-08),2610.0,3692.0,0.7069339111592633
Austria,5. Service and sales workers (ISCO-08),1674.0,2365.0,0.7078224101479915
Austria,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",1441.0,1762.0,0.8178206583427923
Austria,7. Craft and related trades workers (ISCO-08),2101.0,3535.0,0.5943422913719943
Austria,"8. Plant and machine operators, and assemblers (ISCO-08)",2207.0,3292.0,0.6704131227217497
Austria,9. Elementary occupations (ISCO-08),1433.0,2236.0,0.6408765652951699
Austria,TOTAL. Total (ISCO-08),2531.0,4038.0,0.6267954432887568
Belgium,1. Managers (ISCO-08),7226.0,8442.0,0.8559583037194978
Belgium,2. Professionals (ISCO-08),5081.0,5723.0,0.8878210728638826
Belgium,3. Technicians and associate professionals (ISCO-08),3873.0,4564.0,0.8485977212971078
Belgium,4. Clerical support workers (ISCO-08),3279.0,3538.0,0.9267947993216507
Belgium,5. Service and sales workers (ISCO-08),2118.0,2844.0,0.7447257383966245
Belgium,7. Craft and related trades workers (ISCO-08),2839.0,3403.0,0.8342638848075228
Belgium,"8. Plant and machine operators, and assemblers (ISCO-08)",2930.0,3461.0,0.8465761340652991
Belgium,9. Elementary occupations (ISCO-08),1874.0,2900.0,0.6462068965517241
Belgium,TOTAL. Total (ISCO-08),3286.0,4163.0,0.7893346144607254
Bulgaria,1. Managers (ISCO-08),2771.0,3264.0,0.8489583333333334
Bulgaria,2. Professionals (ISCO-08),1591.0,2400.0,0.6629166666666667
Bulgaria,3. Technicians and associate professionals (ISCO-08),1497.0,1750.0,0.8554285714285714
Bulgaria,4. Clerical support workers (ISCO-08),1048.0,1171.0,0.8949615713065756
Bulgaria,5. Service and sales workers (ISCO-08),789.0,767.0,1.0286831812255541
Bulgaria,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",2443.0,2323.0,1.0516573396470081
Bulgaria,7. Craft and related trades workers (ISCO-08),830.0,1236.0,0.6715210355987055
Bulgaria,"8. Plant and machine operators, and assemblers (ISCO-08)",857.0,1048.0,0.8177480916030534
Bulgaria,9. Elementary occupations (ISCO-08),702.0,758.0,0.9261213720316622
Bulgaria,TOTAL. Total (ISCO-08),1168.0,1365.0,0.8556776556776556
Cyprus,1. Managers (ISCO-08),5426.0,6865.0,0.7903860160233066
Cyprus,2. Professionals (ISCO-08),3774.0,4134.0,0.9129172714078374
Cyprus,3. Technicians and associate professionals (ISCO-08),3025.0,3701.0,0.8173466630640367
Cyprus,4. Clerical support workers (ISCO-08),2174.0,2293.0,0.948102921936328
Cyprus,5. Service and sales workers (ISCO-08),1646.0,1907.0,0.8631358154168851
Cyprus,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",,1806.0,
Cyprus,7. Craft and related trades workers (ISCO-08),1556.0,2256.0,0.6897163120567376
Cyprus,"8. Plant and machine operators, and assemblers (ISCO-08)",1791.0,2235.0,0.8013422818791947
Cyprus,9. Elementary occupations (ISCO-08),1506.0,1723.0,0.8740568775391758
Cyprus,TOTAL. Total (ISCO-08),2459.0,2990.0,0.8224080267558529
Czech Republic,1. Managers (ISCO-08),3837.0,5278.0,0.7269799166350891
Czech Republic,2. Professionals (ISCO-08),2717.0,3734.0,0.7276379217996787
Czech Republic,3. Technicians and associate professionals (ISCO-08),2227.0,2774.0,0.8028118240807498
Czech Republic,4. Clerical support workers (ISCO-08),1784.0,2212.0,0.8065099457504521
Czech Republic,5. Service and sales workers (ISCO-08),1390.0,1611.0,0.8628181253879578
Czech Republic,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",1477.0,1739.0,0.8493387004025302
Czech Republic,7. Craft and related trades workers (ISCO-08),1517.0,1990.0,0.7623115577889448
Czech Republic,"8. Plant and machine operators, and assemblers (ISCO-08)",1635.0,1945.0,0.8406169665809768
Czech Republic,9. Elementary occupations (ISCO-08),1179.0,1481.0,0.7960837272113437
Czech Republic,TOTAL. Total (ISCO-08),1966.0,2499.0,0.7867146858743498
Denmark,1. Managers (ISCO-08),6374.0,8229.0,0.7745777129663386
Denmark,2. Professionals (ISCO-08),4596.0,5865.0,0.7836317135549872
Denmark,3. Technicians and associate professionals (ISCO-08),4343.0,5490.0,0.7910746812386157
Denmark,4. Clerical support workers (ISCO-08),3805.0,3894.0,0.9771443246019518
Denmark,5. Service and sales workers (ISCO-08),3004.0,3157.0,0.9515362686094393
Denmark,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",3309.0,3613.0,0.9158593966233047
Denmark,7. Craft and related trades workers (ISCO-08),3409.0,4188.0,0.813992359121299
Denmark,"8. Plant and machine operators, and assemblers (ISCO-08)",3597.0,4176.0,0.8613505747126436
Denmark,9. Elementary occupations (ISCO-08),2838.0,3427.0,0.8281295593813831
Denmark,TOTAL. Total (ISCO-08),3848.0,4737.0,0.8123284779396243
Estonia,1. Managers (ISCO-08),3097.0,4163.0,0.7439346625030027
Estonia,2. Professionals (ISCO-08),2250.0,3283.0,0.6853487663722205
Estonia,3. Technicians and associate professionals (ISCO-08),2002.0,2778.0,0.720662347012239
Estonia,4. Clerical support workers (ISCO-08),1629.0,2013.0,0.8092399403874814
Estonia,5. Service and sales workers (ISCO-08),1217.0,1460.0,0.8335616438356165
Estonia,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",1293.0,1823.0,0.7092704333516182
Estonia,7. Craft and related trades workers (ISCO-08),1419.0,2165.0,0.6554272517321016
Estonia,"8. Plant and machine operators, and assemblers (ISCO-08)",1468.0,1969.0,0.7455561198577958
Estonia,9. Elementary occupations (ISCO-08),1079.0,1477.0,0.7305348679756263
Estonia,TOTAL. Total (ISCO-08),1721.0,2429.0,0.7085220255249074
Finland,1. Managers (ISCO-08),5887.0,7286.0,0.8079879220422729
Finland,2. Professionals (ISCO-08),4169.0,5013.0,0.831637741871135
Finland,3. Technicians and associate professionals (ISCO-08),3213.0,4060.0,0.7913793103448276
Finland,4. Clerical support workers (ISCO-08),2730.0,2745.0,0.994535519125683
Finland,5. Service and sales workers (ISCO-08),2273.0,2620.0,0.8675572519083969
Finland,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",2357.0,2510.0,0.9390438247011952
Finland,7. Craft and related trades workers (ISCO-08),2574.0,3009.0,0.8554336989032901
Finland,"8. Plant and machine operators, and assemblers (ISCO-08)",2676.0,3202.0,0.8357276702061212
Finland,9. Elementary occupations (ISCO-08),1905.0,2427.0,0.7849196538936959
Finland,TOTAL. Total (ISCO-08),3016.0,3749.0,0.8044811949853294
France,1. Managers (ISCO-08),5548.0,7260.0,0.7641873278236915
France,2. Professionals (ISCO-08),3875.0,5165.0,0.750242013552759
France,3. Technicians and associate professionals (ISCO-08),3190.0,3654.0,0.873015873015873
France,4. Clerical support workers (ISCO-08),2613.0,2723.0,0.9596033786265149
France,5. Service and sales workers (ISCO-08),2377.0,2708.0,0.8777695716395865
France,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",2575.0,2262.0,1.1383731211317418
France,7. Craft and related trades workers (ISCO-08),2255.0,2729.0,0.8263100036643459
France,"8. Plant and machine operators, and assemblers (ISCO-08)",2355.0,2819.0,0.8354026250443419
France,9. Elementary occupations (ISCO-08),2071.0,2332.0,0.8880789022298456
France,TOTAL. Total (ISCO-08),3090.0,3770.0,0.8196286472148541
Germany,1. Managers (ISCO-08),7535.0,10351.0,0.7279489904357067
Germany,2. Professionals (ISCO-08),5228.0,6695.0,0.7808812546676624
Germany,3. Technicians and associate professionals (ISCO-08),3804.0,5160.0,0.7372093023255814
Germany,4. Clerical support workers (ISCO-08),3548.0,3904.0,0.9088114754098361
Germany,5. Service and sales workers (ISCO-08),2545.0,2883.0,0.8827610128338537
Germany,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",2431.0,2927.0,0.8305432183122651
